proto,ac,active,actuator,air,alarm,angle,apparent,atmospheric,avg,boiler,bypass,ch2o,chilled,chiller,circ,cloudage,cmd,co,co2,concentration,condensate,condenser,controller,cool,cooling,coolingCoil,coolingTower,crac,current,damper,daytime,delta,demand,dessicantDehumidifier,device,dewPoint,direction,discharge,duct,ductArea,economizer,economizing,effective,efficiency,elec,enable,energy,entering,enthalpy,equip,evaporator,exhaust,export,extraction,faceBypass,fan,fcu,feelsLike,filter,flow,flowInverter,flue,flux,freezeStat,freq,ground,header,heat,heatExchanger,heatWheel,heating,heatingCoil,hot,humidifier,humidity,hvacMode,illuminance,imbalance,import,infiltration,inlet,irradiance,isolation,leaving,level,light,load,luminous,magnitude,makeup,meter,mixed,mixing,motor,net,networking,nh3,no2,o3,occ,occupancy,occupied,outside,perimeterHeat,pf,phase,pipe,pm01,pm10,pm25,point,power,precipitation,pressure,pump,purge,rack,reactive,refrig,reheat,return,run,sensor,server,solar,sp,space,speed,stage,standby,steam,temp,thd,thermal,thermostat,total,tvoc,unocc,valve,velocity,ventilation,vfd,visibility,volt,volume,warm,water,weather,weatherCond,well,wetBulb,wind,zone
ductArea sp point,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
economizer air co2 concentration sensor point,"","","",✓,"","","","","","","","","","","","","","",✓,✓,"","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
economizer air co2 concentration sp point,"","","",✓,"","","","","","","","","","","","","","",✓,✓,"","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
economizer air dewPoint sensor point,"","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
economizer air dewPoint sp point,"","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
economizer air enthalpy sensor point,"","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
economizer air enthalpy sp point,"","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
economizer air flow sensor point,"","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
economizer air flow sp point,"","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
economizer air humidity sensor point,"","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
economizer air humidity sp point,"","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
economizer air pressure sensor point,"","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","",✓,"","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
economizer air pressure sp point,"","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","",✓,"","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
economizer air temp sensor point,"","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","",""
economizer air temp sp point,"","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","",✓,"","","","","",✓,"","","","","","","","","","","","","","","","","","","","",""
economizer chilled water cool valve cmd point,"","","","","","","","","","","","",✓,"","","",✓,"","","","","","",✓,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","",✓,"","","","","",""
economizer coolingCoil equip,"","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","",✓,"","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
economizer damper actuator equip,"","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","",✓,"","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
